time,operating_hours,fuel_consumption(liter),engine_id
2018-02-11,9035,4249.6,2582458400
2018-02-12,9036,3814.4,2582458400
2018-02-13,9037,3788.8,2582458400
2018-02-14,9037,2560,2582458400
2018-02-15,9037,2560,2582458400
2018-02-16,9041,3456,2582458400
2018-02-17,9045,3123.2,2582458400
2018-02-18,9045,2585.6,2582458400
2018-02-19,9051,4761.6,2582458400
2018-02-20,9057,4454.4,2582458400
2018-02-21,9065,3942.4,2582458400
2018-02-22,9071,4838.4,2582458400
2018-02-23,9076,4480,2582458400
2018-02-24,9079,4121.6,2582458400
2018-02-25,9079,4121.6,2582458400
2018-02-26,9080,3865.6,2582458400
2018-02-27,9085,3686.4,2582458400
2018-02-28,9102,4838.4,2582458400
2018-03-01,9125,4838.4,2582458400
2018-03-02,9147,4812.8,2582458400
2018-03-03,9170,4992,2582458400
2018-03-04,9192,4761.6,2582458400
2018-03-05,9209,4992,2582458400
2018-03-06,9230,4966.4,2582458400
2018-03-07,9254,4966.4,2582458400
2018-03-08,9274,4966.4,2582458400
2018-03-09,9297,3763.2,2582458400
2018-03-10,9314,4377.6,2582458400
2018-03-11,9336,4940.8,2582458400
2018-03-12,9349,4940.8,2582458400
2018-03-13,9367,4940.8,2582458400
2018-03-14,9386,4940.8,2582458400
2018-03-15,9407,5017.6,2582458400
2018-03-16,9430,4787.2,2582458400
2018-03-17,9451,4838.4,2582458400
2018-03-18,9474,4889.6,2582458400
2018-03-19,9490,4992,2582458400
2018-03-20,9513,4300.8,2582458400
2018-03-21,9534,4736,2582458400
2018-03-22,9555,4838.4,2582458400
2018-03-23,9578,4684.8,2582458400
2018-03-24,9592,4684.8,2582458400
2018-03-25,9614,4812.8,2582458400
2018-03-26,9628,4992,2582458400
2018-03-27,9639,4812.8,2582458400
2018-03-28,9639,4812.8,2582458400
2018-03-29,9639,4812.8,2582458400
2017-12-20,2716,4992,8481959000
2017-12-21,2722,4019.2,8481959000
2017-12-22,2728,3481.6,8481959000
2017-12-23,2728,3481.6,8481959000
2017-12-24,2728,3481.6,8481959000
2017-12-25,2728,3481.6,8481959000
2017-12-26,2728,3481.6,8481959000
2017-12-27,2733,4531.2,8481959000
2017-12-28,2733,4940.8,8481959000
2017-12-29,2734,4940.8,8481959000
2017-12-30,2734,4940.8,8481959000
2017-12-31,2734,4940.8,8481959000
2018-01-01,2734,4940.8,8481959000
2018-01-02,2743,4633.6,8481959000
2018-01-03,2749,4275.2,8481959000
2018-01-04,2757,2560,8481959000
2018-01-05,2764,5017.6,8481959000
2018-01-06,2764,5017.6,8481959000
2018-01-07,2764,5017.6,8481959000
2018-01-08,2772,4198.4,8481959000
2018-01-09,2780,3379.2,8481959000
2018-01-10,2788,5017.6,8481959000
2018-01-11,2797,3840,8481959000
2018-01-12,2804,3609.6,8481959000
2018-01-13,2804,3609.6,8481959000
2018-01-14,2804,3609.6,8481959000
2018-01-15,2812,5017.6,8481959000
2018-01-16,2820,3916.8,8481959000
2018-01-17,2829,3660.8,8481959000
2018-01-18,2835,5017.6,8481959000
2018-01-19,2842,4787.2,8481959000
2018-01-20,2842,4787.2,8481959000
2018-01-21,2842,4787.2,8481959000
2018-01-22,2850,4172.8,8481959000
2018-01-23,2857,3456,8481959000
2018-01-24,2865,3020.8,8481959000
2018-01-25,2872,4761.6,8481959000
2018-01-26,2876,4352,8481959000
2018-01-27,2876,4352,8481959000
2018-01-28,2876,4352,8481959000
2018-01-29,2879,4121.6,8481959000
2018-01-30,2879,3993.6,8481959000
2018-01-31,2886,3891.2,8481959000
2018-02-01,2888,3379.2,8481959000
2018-02-02,2891,3353.6,8481959000
2018-02-03,2891,3353.6,8481959000
2018-02-04,2891,3353.6,8481959000
2018-02-05,2892,2560,8481959000
2018-02-06,2892,2585.6,8481959000
2018-02-07,2892,2585.6,8481959000
2018-02-08,2892,2585.6,8481959000
2018-02-09,2892,2585.6,8481959000
2018-02-10,2892,2585.6,8481959000
2018-02-11,2892,2585.6,8481959000
2018-02-12,2893,2867.2,8481959000
2018-02-13,2893,2867.2,8481959000
2018-02-14,2895,4787.2,8481959000
2018-02-15,2900,4659.2,8481959000
2018-02-16,2900,4659.2,8481959000
2018-02-17,2900,4659.2,8481959000
2018-02-18,2900,4659.2,8481959000
2018-02-19,2906,4556.8,8481959000
2018-02-20,2913,4044.8,8481959000
2018-02-21,2919,3379.2,8481959000
2018-02-22,2922,3123.2,8481959000
2018-02-23,2924,2585.6,8481959000
2018-02-24,2924,2585.6,8481959000
2018-02-25,2924,2585.6,8481959000
2018-02-26,2924,2585.6,8481959000
2018-02-27,2926,2790.4,8481959000
2018-02-28,2933,4224,8481959000
2018-03-01,2940,4505.6,8481959000
2018-03-02,2946,3456,8481959000
2018-03-03,2946,3456,8481959000
2018-03-04,2946,3456,8481959000
2018-03-05,2949,3302.4,8481959000
2018-03-06,2953,4736,8481959000
2018-03-07,2953,2560,8481959000
2018-03-08,2959,4659.2,8481959000
2018-03-09,2959,4659.2,8481959000
2018-03-10,2959,4659.2,8481959000
2018-03-11,2959,4659.2,8481959000
2018-03-12,2963,4249.6,8481959000
2018-03-13,2964,3840,8481959000
2018-03-14,2964,3840,8481959000
2018-03-15,2965,3353.6,8481959000
2018-03-16,2968,3404.8,8481959000
2018-03-17,2968,3404.8,8481959000
2018-03-18,2968,3404.8,8481959000
2018-03-19,2976,5017.6,8481959000
2018-03-20,2981,4505.6,8481959000
2018-03-21,2987,3891.2,8481959000
2018-03-22,2988,3788.8,8481959000
2018-03-23,2993,3404.8,8481959000
2018-03-24,2993,3404.8,8481959000
2018-03-25,2993,3404.8,8481959000
2018-03-26,3000,4812.8,8481959000
2018-03-27,3006,4659.2,8481959000
2018-03-28,3008,4147.2,8481959000
2018-03-29,3012,3635.2,8481959000
2017-12-20,4070,3328,7940559597
2017-12-21,4079,3302.4,7940559597
2017-12-22,4079,3072,7940559597
2017-12-23,4079,3072,7940559597
2017-12-24,4079,3072,7940559597
2017-12-25,4079,3072,7940559597
2017-12-26,4079,3072,7940559597
